ID,Titulo,PS4,PS5,Tipo,Consola,URL,Venta
897,Poppy Playtime: Chapter 1,show,hide,Secundaria,PS5,https://image.api.playstation.com/vulcan/ap/rnd/202310/2416/f4c095be7b000a29b298dda4b8a1c28f472466b25f44f1f7.png?w=1024&,
897,Poppy Playtime: Chapter 1,show,hide,Secundaria,PS4,https://image.api.playstation.com/vulcan/ap/rnd/202310/2416/f4c095be7b000a29b298dda4b8a1c28f472466b25f44f1f7.png?w=1024&,
1159,Pro Flight Simulator,hide,show,Primaria,PS4,https://image.api.playstation.com/vulcan/ap/rnd/202410/2401/6d79e4ac57d23ed1e741924ded60b4df983d7bf41db057a9.png?w=1024&,
1159,Pro Flight Simulator,hide,show,Secundaria,PS5,https://image.api.playstation.com/vulcan/ap/rnd/202410/2401/6d79e4ac57d23ed1e741924ded60b4df983d7bf41db057a9.png?w=1024&,
1159,Pro Flight Simulator,hide,show,Secundaria,PS4,https://image.api.playstation.com/vulcan/ap/rnd/202410/2401/6d79e4ac57d23ed1e741924ded60b4df983d7bf41db057a9.png?w=1024&,
903,Ratchet & Clank: Rift Apart,hide,show,Secundaria,PS5,https://image.api.playstation.com/vulcan/ap/rnd/202101/2921/DwVjpbKOsFOyPdNzmSTSWuxG.png?w=1024&,
1180,Ready or Not,hide,show,Secundaria,PS5,https://image.api.playstation.com/vulcan/ap/rnd/202504/0914/ccad4abd77d40d3b3c7d77b8e4c9024fae86df781334ed93.png?w=1024&,
913,Red Dead Redemption 2: Ultimate Edition,show,hide,Secundaria,PS5,https://image.api.playstation.com/cdn/UP1004/CUSA03041_00/3zDubiWo2X5WU18FGiwlsf4lKWb8MwkE.png?w=1024&,
913,Red Dead Redemption 2: Ultimate Edition,show,hide,Secundaria,PS4,https://image.api.playstation.com/cdn/UP1004/CUSA03041_00/3zDubiWo2X5WU18FGiwlsf4lKWb8MwkE.png?w=1024&,
1076,Resident Evil 4 Gold Edition PS4 & PS5,show,show,Primaria,PS5,https://image.api.playstation.com/vulcan/ap/rnd/202401/2906/78161bc117f3d712bca47348db7a8be7e4ac6c4a2b98d88a.png?w=1024&,12.0
1076,Resident Evil 4 Gold Edition PS4 & PS5,show,show,Secundaria,PS5,https://image.api.playstation.com/vulcan/ap/rnd/202401/2906/78161bc117f3d712bca47348db7a8be7e4ac6c4a2b98d88a.png?w=1024&,
