ID,Titulo,PS4P,PS4S,PS5P,PS5S,URL
1076,Resident Evil 4 Gold Edition PS4 & PS5,"12,50$",,,,https://image.api.playstation.com/vulcan/ap/rnd/202401/2906/78161bc117f3d712bca47348db7a8be7e4ac6c4a2b98d88a.png?w=1024&
921,Resident Evil 6,"6,00$","3,00$",,,https://image.api.playstation.com/vulcan/img/cfn/11307iFekmRyvczwhwVHpodf6iiXjo8Duo5SDvbbjvQX0vC0NZ6lXPooKItDs7qBEGnf_OUQu9sqPtfVVbAnZFU8Mb8DpvH_.png?w=1024&
921,Resident Evil 6,"6,00$",,,,https://image.api.playstation.com/vulcan/img/cfn/11307iFekmRyvczwhwVHpodf6iiXjo8Duo5SDvbbjvQX0vC0NZ6lXPooKItDs7qBEGnf_OUQu9sqPtfVVbAnZFU8Mb8DpvH_.png?w=1024&
929,Resident Evil Revelations 2 Deluxe Edition,"6,50$",,"7,00$",,https://image.api.playstation.com/cdn/UP0102/CUSA00924_00/gri8C5T2j5pLUw4e9szA9npjaswoCsKI.png?w=1024&
934,Riders Republic Skate Edition,5,,,,https://image.api.playstation.com/vulcan/ap/rnd/202308/0718/9b6c9c4b0d240309dcb121618e0febdc525222ddd9b9930f.png?w=1024&
966,Rise of the Tomb Raider: 20 Year Celebration,6,,11,,https://image.api.playstation.com/cdn/UP0082/CUSA05794_00/HzYMHoXoANNfVJ5BlxcTJ8bpCHCW3j8j.png?w=1024&
936,Rooftops & Alleys: The Parkour Game,ND,ND,"24,00$",,https://image.api.playstation.com/vulcan/ap/rnd/202504/1008/8e01a5f8b523d73ff80a985620989bf97d9e4e8570eef3f1.png?w=1024&
1175,Saints Row IV Re-Elected,"5,5",,,,https://image.api.playstation.com/cdn/UP2047/CUSA01164_00/nhM6vndQ0hzEwA6FKh99Kjq9ILNaQ8tm.png?w=1024&
971,Sekiro: Shadows Die Twice - Game of the Year Edition,20,,"6,5",,https://image.api.playstation.com/vulcan/img/rnd/202010/2723/knxU5uU5aKvQChKX5OvWtSGC.png?w=1024&
971,Sekiro: Shadows Die Twice - Game of the Year Edition,9,,7,,https://image.api.playstation.com/vulcan/img/rnd/202010/2723/knxU5uU5aKvQChKX5OvWtSGC.png?w=1024&
984,TEKKEN 7,9,,,,https://image.api.playstation.com/cdn/UP0700/CUSA05972_00/4yfeeKKfJdD5WzDQsoiM3xrcqPlpDLm7.png?w=1024&
1094,The Crew Motorfest,10,,16,,https://image.api.playstation.com/vulcan/ap/rnd/202305/2315/607d9ed1ac762c9de33ef73fd09b3431d0b96ef4985ac2fb.png?w=1024&
1094,The Crew Motorfest,"12,00$",,,,https://image.api.playstation.com/vulcan/ap/rnd/202305/2315/607d9ed1ac762c9de33ef73fd09b3431d0b96ef4985ac2fb.png?w=1024&
1014,Tom Clancys Ghost Recon Breakpoint,16,,"9,5",,https://image.api.playstation.com/vulcan/img/rnd/202109/0713/yde6GT9WPbcAUL1QyqjumHs9.png?w=1024&
1014,Tom Clancys Ghost Recon Breakpoint,"3,5",,,,https://image.api.playstation.com/vulcan/img/rnd/202109/0713/yde6GT9WPbcAUL1QyqjumHs9.png?w=1024&
1015,Tomb Raider I-III Remastered Starring Lara Croft,,,24,,https://image.api.playstation.com/vulcan/ap/rnd/202402/0221/b10e4dff0c3c4ba38ef9a331671b156c70bdfadc32a8f5cf.png?w=1024&
1023,Tomb Raider: Definitive Survivor Trilogy,"3,5",,7,,https://image.api.playstation.com/vulcan/ap/rnd/202103/0411/6WCniRsHGdHc6mJU7rOQ6yRu.png?w=1024&
1037,UNCHARTED 4: A Thief�s End & UNCHARTED: The Lost Legacy Digital Bundle,8,,"10,5",,https://image.api.playstation.com/vulcan/ap/rnd/202111/2001/9Vdas199J3tqxTIBWGijbpjW.png?w=1024&
1041,Unravel Yarny Bundle,0,,4,,https://image.api.playstation.com/cdn/UP0006/CUSA10483_00/lRdXLpPuerDVd7823MfTrlvs9794nR3t.png?w=1024&
1046,Watch Dogs 2 - Gold Edition,10,5,,NULL,https://image.api.playstation.com/cdn/UP0001/CUSA04459_00/y8TeaM5QNY5bdsi9nNY2WPUAeJ9FeY6I.png?w=1024&
